species,MEY11_0,MEY11_1,MEY11_2,MEY11_3,MEY11_4,MEY11_5,MEY11_6,MEY11_7,MEY11_8,MEY11_9,MEY4_0,MEY4_1,MEY4_2,MEY4_3,MEY4_4,MEY4_5,MEY4_6,MEY4_7,MEY4_8,MEY4_9,MEY7_0,MEY7_1,MEY7_2,MEY7_3,MEY7_4,MEY7_5,MEY7_6,MEY7_7,MEY7_8,MEY7_8_control,MEY7_9,MEY8_0,MEY8_1,MEY8_2,MEY8_3,MEY8_4,MEY8_5,MEY8_6,MEY8_7,MEY8_8,MEY8_9,total,superkingdom,kingdom,phylum,class,order,family,genus,tax
Amphibacillus haojiensis,3,5,0,0,1,0,3,0,3,3,0,1,1,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,2,1,2,35,Bacteria,none,Firmicutes,Bacilli,Bacillales,Bacillaceae,Amphibacillus,Bacteria;none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Amphibacillus;Amphibacillus haojiensis
Pelotomaculum propionicicum,0,0,6,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,3,9,0,0,0,0,34,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Desulfotomaculaceae,Pelotomaculum,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Desulfotomaculaceae;Pelotomaculum;Pelotomaculum propionicicum
Dubosiella newyorkensis,2,0,2,7,2,1,5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,3,3,34,Bacteria,none,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Dubosiella,Bacteria;none;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Dubosiella;Dubosiella newyorkensis
Virgibacillus kapii,4,0,5,4,1,1,3,1,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,3,0,0,34,Bacteria,none,Firmicutes,Bacilli,Bacillales,Bacillaceae,Virgibacillus,Bacteria;none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Virgibacillus;Virgibacillus kapii
Euzebya pacifica,2,1,0,2,0,0,0,0,3,6,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,6,1,0,3,3,2,34,Bacteria,none,Actinobacteria,Nitriliruptoria,Euzebyales,Euzebyaceae,Euzebya,Bacteria;none;Actinobacteria;Nitriliruptoria;Euzebyales;Euzebyaceae;Euzebya;Euzebya pacifica
Variimorphobacter saccharofermentans,0,1,0,1,1,0,0,2,2,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,2,0,0,7,0,3,0,3,4,34,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Variimorphobacter,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Variimorphobacter;Variimorphobacter saccharofermentans
Tumebacillus permanentifrigoris,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,15,34,Bacteria,none,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Tumebacillus,Bacteria;none;Firmicutes;Bacilli;Bacillales;Alicyclobacillaceae;Tumebacillus;Tumebacillus permanentifrigoris
Listeria goaensis,0,0,0,5,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,Bacteria,none,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,Bacteria;none;Firmicutes;Bacilli;Bacillales;Listeriaceae;Listeria;Listeria goaensis
Salininema proteolyticum,2,0,0,0,2,1,6,2,8,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,34,Bacteria,none,Actinobacteria,Actinomycetia,Glycomycetales,Glycomycetaceae,Salininema,Bacteria;none;Actinobacteria;Actinomycetia;Glycomycetales;Glycomycetaceae;Salininema;Salininema proteolyticum
Nodosilinea bijugata,0,3,5,3,2,3,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,2,1,3,0,34,Bacteria,none,Cyanobacteria,Cyanobacteria_Incertae_sedis,Pseudanabaenales,Prochlorotrichaceae,Nodosilinea,Bacteria;none;Cyanobacteria;Cyanobacteria_Incertae_sedis;Pseudanabaenales;Prochlorotrichaceae;Nodosilinea;Nodosilinea bijugata
